Keyword,Company,Job_title,City,State,,Salary,,
software developer,JPS Tech Solutions LLC,React.js and Next.js Developer,Dallas, TX,,$60.65 - $64.06 Per Hour (Employer est.),,
software developer,Lightspeed Voice,FreePBX Asterisk Telephony Developer,Remote,,,$80K - $110K (Employer est.),,
software developer,Outta Boudz,Full-Stack Developer (Next.js & Sequelize),Bloomsburg, PA,,$50.00 - $75.00 Per Hour (Employer est.),,
software developer,Technology Holdings North America Inc.,Back End Developer,New York, NY,,$150K - $200K (Employer est.),,
software developer,TriMech Services,Solidworks Design Engineer Automation,Memphis, TN,,$76K - $109K (Glassdoor est.),,
software developer,Strategi Consulting,Senior Full Stack Developer,Colorado Springs, CO,,$130K (Employer est.),,
software developer,FifthColor,Sr. Full Stack Developer,Sheboygan Falls, WI,,$100K - $120K (Employer est.),,
software developer,"SBT Global, Inc.",Backend Developer,Ridgefield Park, NJ,,$72K - $112K (Glassdoor est.),,
software developer,M&M Micro Systems Inc.,Programmer,Tennessee,,,$79K - $94K (Employer est.),,
software developer,Tax Network USA INC,.NET Software Developer,Encino, CA,,$78K - $135K (Employer est.),,
software developer,Assurity Life Insurance Company,Software Developer I,Lincoln, NE,,$76K - $99K (Glassdoor est.),,
software developer,"Koops, Inc.",Automation Controls Engineer - Experienced,Holland, MI,,$67K - $101K (Glassdoor est.),,
software developer,YSI,Web Developer,College Park, MD,,$120K - $130K (Employer est.),,
software developer,Recorded Future,"Senior Full Stack Engineer (React, Javascript)",Somerville, MA,,$103K - $146K (Glassdoor est.),,
software developer,Black Owl Recruiting,Developer,New York, NY,,$70.00 Per Hour (Employer est.),,
software developer,Creative Mines,Senior Full Stack Developer,Hancock, MI,,$70K - $110K (Employer est.),,
software developer,Home Depot / THD,Senior Software Engineer (REMOTE),Atlanta, GA,,$140K - $180K (Employer est.),,
software developer,Uline,Software Development Team Lead - Web,Waukegan, IL,,$121K - $160K (Employer est.),,
software developer,Visa,"Software Engineer, New College Grad - 2025",Foster City, CA,,$116K (Employer est.),,
software developer,Nextech,Software Developer,Melbourne, FL,,$100K - $125K (Employer est.),,
software developer,Spokeo,"Software Developer, API",Pasadena, CA,,$115K - $145K (Employer est.),,
software developer,Warner Bros. Discovery,Software Engineer II,New York, NY,,$99K - $185K (Employer est.),,
software developer,CONVERSE,eCommerce Software Engineer - JavaScript (front OR back-end),Atlanta, GA,,$65K - $116K (Glassdoor est.),,
software developer,Zymo Research,Software App Developer,Irvine, CA,,$70K - $100K (Employer est.),,
software developer,Leidos,Radar / Electronic Warfare Software Section Team Lead,Huntsville, AL,,$85K - $154K (Employer est.),,
software developer,Oracle,Software Developer,Redwood City, CA,,$128K - $174K (Glassdoor est.),,
software developer,Alma,Backend Engineer (Remote),California,,,$4K - $9K (Employer est.),,
software developer,CCC Information Services Inc.,Software Engineers,Chicago, IL,,$87K - $91K (Employer est.),,
software developer,Dolby,Associate Full Stack Web Developer,Indianapolis, IN,,$87K - $117K (Employer est.),,
software developer,Ascend Federal Credit Union,Software Developer,Murfreesboro, TN,,$60K - $87K (Glassdoor est.),,
software developer,DocuSign,Software Engineer,Chicago, IL,,$103K - $142K (Employer est.),,
software developer,Cook County Offices Under the President,FULL STACK DEVELOPER (BUREAU OF TECHNOLOGY) - ACTIVELY RECRUITED,Chicago, IL,,$99K - $107K (Employer est.),,
software developer,NIKE,Software Engineer I - Platforms Team,Beaverton, OR,,$100K - $141K (Glassdoor est.),,
software developer,Independent Health,.NET Developer - Associate,Buffalo, NY,,$70K - $85K (Employer est.),,
software developer,BlackRock Investments,"Associate, Full Stack Engineer",Atlanta, GA,,$92K - $143K (Glassdoor est.),,
software developer,Delmarva Digital,Junior Software Developer,Laurel, DE,,,,
software developer,The MIL Corporation,"AI/ML Software Developer Intermediate (Software Engineering, Senior Analyst)",Lexington Park, MD,,$90K - $140K (Employer est.),,
software developer,"Savoye North America, Inc.",ROS2 Software Engineer,Aurora, IL,,$87K - $124K (Glassdoor est.),,
software developer,Thrive,Software Developer,Louisville, KY,,$83K - $106K (Glassdoor est.),,
software developer,Netflix,"Software Engineer (L5), Ads Measurement",New York, NY,,$100K - $720K (Employer est.),,
software developer,Naval Nuclear Laboratory,Entry Level Computer/Software Engineer,West Mifflin, PA,,$62K - $95K (Employer est.),,
software developer,Rebrandly,Senior Software Engineer,United States,,,,,
