Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Software quality assurance tester ,United States,3.5,Karius,Senior Software Quality Engineer,"Redwood City, CA",$139K - $209K (Employer est.),29d,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_cdaf241c&cb=1743695043567&jobListingId=1009660998702&jrtk=5-yul1-0-1inu55mitgc3u800-f80c032b12272907,"In this role, you will collaborate closely with software engineers, product managers, and technical stakeholders throughout the software lifecycle to develop…&hellip;
      
        Skills: Jira, CI/CD, Management, Selenium, Git
      
    "
 Software quality assurance tester ,United States,4.3,MathWorks,Quality Engineer,"Natick, MA",$85K - $106K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_5eed417b&cb=1743695043567&jobListingId=1009694589024&jrtk=5-yul1-0-1inu55mitgc3u800-ea12702f59bf70ff,"Employer will accept a Master’s degree in Computer Science, Engineering [any], or related field and no experience. May telecommute up to 40%.&hellip;
      
        Skills: Management, Kanban, Test automation, Selenium, Java
      
    "
 Software quality assurance tester ,United States,3.7,Insurance Office of America,Quality Assurance Automation Engineer,"Tallahassee, FL",$69K - $98K (Glassdoor est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_f1c04b56&cb=1743695043567&jobListingId=1009689683237&jrtk=5-yul1-0-1inu55mitgc3u800-1d892076da25f833,"Pipeline Solutions: Design, develop, and deploy new Automated pipeline solutions. You will play an integral, hands-on role in developing both public-facing and…&hellip;
      
        Skills: Jira, Web accessibility, CI/CD, ASP.NET, Azure
      
    "
 Software quality assurance tester ,United States,2.8,Science Systems & Applications,Quality Assurance Engineer,"Pasadena, CA",$80K - $108K (Glassdoor est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_78cd716d&cb=1743695043567&jobListingId=1009689726039&jrtk=5-yul1-0-1inu55mitgc3u800-6d7b91719f5989b4,"This role will interface with Project Managers, Project Element Managers, Task Managers, and Mission Assurance Managers to develop appropriate quality assurance…&hellip;
      
        Skills: Quality assurance, Quality systems, Communication skills
      
    "
 Software quality assurance tester ,United States,3.8,Bulletproof,Penetration Tester,Remote,,2d,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_5ef79a0e&cb=1743695043568&jobListingId=1009691491211&jrtk=5-yul1-0-1inu55mitgc3u800-fbbbb6052cb3ffb7,"Provide well-written, concise, technical and non-technical reports in English. Ability in preparing and launching social engineering campaigns (both phishing…&hellip;
      
        Skills: Azure, Operating systems, Internet of things, Mobile applications, iOS
      
    "
 Software quality assurance tester ,United States,4.0,DataAnnotation,Quality Assurance Developer - AI Trainer,"Utica, NY",$40.00 Per Hour (Employer est.),29d,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1110586&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_61a97b2a&cb=1743695043568&jobListingId=1009660264169&cpc=5EFBB0462F9C6B7A&jrtk=5-yul1-0-1inu55mitgc3u800-c5ce250656337c1c---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkV8B7GZdgCjXEypYda6U01S6D0vbnLQNrijva-d4vVBw_cNU7g9xQb3yUpjnk2A9_2Rv8u1j3PZdliQ0C9uddgXROXmH96_msOwr-tSZvmXXyKDsJqchz-EaTB1bPnVTTdEjb1LEL4UpsQkW6iiQ12o4ZvOv6RWigmEFZvC9Hhnr4L3is01rfFINbVlbq83UW8pMpyMXhjqE3ce72_30h6Mah1d1kdZ6TeI2cufD3WnYL4H7wMn9g7C6mhpBuhNz8-oObWAL3smswcw0-2EWEb7f37N1T54WQXz83xGoMynIewn7QapgvYrM_mhxmZUBCBuC1ZGKnnQuv6anUaIj41BWt7e1EP4yjMHYDPi3ZRUyGQZ_AG1Mh8Aq7fFGE8D2N3NJ-eoT1O43xzld9zS611GUaUWudYxx1AMjvWwaoqupCzzBggCY9PGraTPDT-CnNmqiSykjf90bVUsTvekycM99iJdogJzRkChU47e2jSL5nZd-q7koyxnxkfkxBv6AOhNjgz7JjpDF2Xx-pRYNEfwb52psTODBt4uzoNRt2pVlaiTnUBB64gjKByd1ajcytOrlefKWDiY7S6awUe_aVm-7C1HranuRaErLIab87MJDLYVmaIkyc42NXIG7krrIUF1MGvZHwl9QJ6tUKVFJp07LA-0i8yIPzAYS2QtXcqhSeCmL1V8aHo3MmJKNK9G-HA973D_UWZ8IcJo3t8T4b58Tox54ccI8w8Agb9IDLusPutRATLQugIxio1JJU9ld4WJJHULaNBJr1G5GjAszzKW8Pe7fxrb-BozxyxYhfCxy6gEEoIMTrDUKB6e6qbcrhmtap3CV0gsKTvZ54gSOLFifJzarwaaQ_Y9fK8tCkPyPAFmIyRRYZCfFPaRgTHsRVz-7i-vr5WF_w%3D%3D,"You can work on your own schedule. A bachelor's degree (completed or in progress). Write high-quality answers and code snippets.&hellip;
      
        Skills: Go, CSS, React, Writing skills, C#
      
    "
 Software quality assurance tester ,United States,3.5,Qualitest,Salesforce Tester,United States,$90K - $100K (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_38bd6e79&cb=1743695043568&jobListingId=1009689636252&jrtk=5-yul1-0-1inu55mitgc3u800-7e861579c4beb509,"Participate in daily scrum meetings, analyze assigned user stories, identify/resolve gaps in functional user stories/business requirements.&hellip;
      
        Skills: Sales, Customer service, Salesforce, Test automation, Quality assurance
      
    "
 Software quality assurance tester ,United States,,ALL-INONESOL,SAP Tester,Remote,$68.00 - $70.00 Per Hour (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_75a79ddd&cb=1743695043568&jobListingId=1009691566173&jrtk=5-yul1-0-1inu55mitgc3u800-49caa789307dbd5d,"Technical Skills:13+ years of automation experience including Java, Python and VB scriptingWorking knowledge of JIRA and defect management tools and life cycle4…&hellip;
      
        Skills: Jira, Management, Visual Basic, Java, SAP S/4HANA
      
    "
 Software quality assurance tester ,United States,4.0,NIKE,Quality Engineer,"Beaverton, OR",,2d,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8a1b9a3&cb=1743695043568&jobListingId=1009694074710&jrtk=5-yul1-0-1inu55mitgc3u800-482cd3f2b10e81b4,"Support Site Reliability and engineering teams with problem triage and resolution. Test video and audio content across multiple apps and mobile operating…&hellip;
      
        Skills: Jira, Computer science, iOS, R, Java
      
    "
 Software quality assurance tester ,United States,4.7,Script Care LTD,Software Development Engineer in Test,"Beaumont, TX",$94K - $133K (Glassdoor est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9a0cb2a3&cb=1743695043568&jobListingId=1009689725719&jrtk=5-yul1-0-1inu55mitgc3u800-f720f9fabdc5892e,"Solid experience with test automation frameworks Test, Data and Business Driven Development models with test automation tools (Cypress, Playwright).&hellip;
      
        Skills: Relational databases, Test automation, Performance testing, Databases, JavaScript
      
    "
 Software quality assurance tester ,United States,5.0,OnHires,SDET,"San Francisco, CA",$83K - $137K (Glassdoor est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_22f86fb6&cb=1743695043569&jobListingId=1009679088312&jrtk=5-yul1-0-1inu55mitgc3u800-e86d364b68765714,"Enhance and maintain automation frameworks, CI/CD processes, and testing tools. Solid understanding of testing methodologies, processes, and best practices.&hellip;
      
        Skills: CI/CD, TestNG, Selenium, Performance testing, Java
      
    "
 Software quality assurance tester ,United States,3.4,Natera,"Software Quality Engineer, Data",Remote,$94K - $118K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c543f31&cb=1743695043569&jobListingId=1009582283331&jrtk=5-yul1-0-1inu55mitgc3u800-69b3206809a23170,"Perform system analysis, assess risk, and develop strong test strategies by analyzing product design and technical specifications, and by collaborating with…&hellip;
      
        Skills: Computer science, TestNG, JUnit, Relational databases, Test automation
      
    "
 Software quality assurance tester ,United States,4.0,Second Nature,Principal Quality Assurance Engineer,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_7e894c01&cb=1743695043569&jobListingId=1009696215019&jrtk=5-yul1-0-1inu55mitgc3u800-fd518033cabf7e50,"Design, implement, and maintain automated test frameworks, tools, and test suites. Knowledge of AI/ML-driven testing strategies and tools.&hellip;
      
        Skills: CI/CD, TestNG, Azure, Management, JUnit
      
    "
 Software quality assurance tester ,United States,3.8,Medtronic,Sr. Software Design Quality Assurance Engineer,"Minneapolis, MN",$142K - $148K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_025e22ed&cb=1743695043569&jobListingId=1009624342534&jrtk=5-yul1-0-1inu55mitgc3u800-f4c2e4da83712ea2,"Experience must include five (5) years of post-Bachelor’s progressive experience in all of the following: Design and development of digital health solutions for…&hellip;
      
        Skills: DevOps, Mobile applications, iOS, Application development, AWS
      
    "
 Software quality assurance tester ,United States,3.9,Oculus,"QA Tester, Sanzaru Game Studio",Remote,$20.67 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_b92da39b&cb=1743695043568&jobListingId=1009695109531&jrtk=5-yul1-0-1inu55mitgc3u800-5eb30259247d45a9,"3+ years of QA testing in VR, console, or PC video games. Test and help debug pre-released features based on the current progress of development.&hellip;
      
        Skills: Jira, Machine learning
      
    "
