,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
191,IT project manager,University of Arizona,IT Project Manager IV,United States,$100K - $160K (Employer est.),30d+,Mid-level,130000.0,0,United States,Unknown,130.0
192,IT project manager,Red Bull,"Graduate Program, Information Technology","Santa Monica, CA",$80K (Employer est.),24h,Mid-level,80000.0,0,Santa Monica,CA,80.0
193,IT project manager,Qualcomm,Senior IT Project Manager/Scrum Master,"San Diego, CA",$142K - $214K (Employer est.),30d+,Mid-level,178000.0,0,San Diego,CA,178.0
195,IT project manager,Waveguide,SENIOR AV/IT PROJECT MANAGER- REMOTE,North Carolina,$110K - $120K (Employer est.),2d,Mid-level,115000.0,0,North Carolina,Unknown,115.0
197,IT project manager,GCI,IT Project Manager III,"Anchorage, AK",$91K - $123K (Glassdoor est.),30d+,Mid-level,107000.0,0,Anchorage,AK,107.0
200,IT project manager,Evolve Security,Service Delivery Manager/Project Manager,United States,$75K - $85K (Employer est.),13d,Mid-level,80000.0,0,United States,Unknown,80.0
201,IT project manager,KARL STORZ Endoscopy - America,Project Manager IV,"Goleta, CA",$152K - $172K (Employer est.),30d+,Mid-level,162000.0,0,Goleta,CA,162.0
203,IT project manager,Loma Linda University Health,Project Manager Sr-IT,"Loma Linda, CA",$116K - $152K (Employer est.),24d,Mid-level,134000.0,0,Loma Linda,CA,134.0
204,IT project manager,"Audio-Technica U.S., Inc.",ERP Manager,"Stow, OH",$83K - $119K (Glassdoor est.),30d+,Mid-level,101000.0,0,Stow,OH,101.0
205,IT project manager,Centene,HEDIS Project Manager IV,Alabama,$86K - $155K (Employer est.),30d+,Mid-level,120500.0,0,Alabama,Unknown,120.5
206,IT project manager,Mastercard,Senior Technical Program Manager,"O Fallon, MO",$94K - $157K (Employer est.),27d,Mid-level,125500.0,0,O Fallon,MO,125.5
207,IT project manager,Microsoft,Senior Technical Program Manager,United States,$117K - $250K (Employer est.),24h,Mid-level,183500.0,0,United States,Unknown,183.5
210,IT project manager,GCI,IT Project Manager IV,"Anchorage, AK",$99K - $134K (Glassdoor est.),30d+,Mid-level,116500.0,0,Anchorage,AK,116.5
212,IT project manager,Thermo Fisher Scientific,IT Project Manager III,"Carlsbad, CA",$135K - $159K (Employer est.),23d,Mid-level,147000.0,0,Carlsbad,CA,147.0
213,IT project manager,"Innovation Associates, Inc.",Sr. Technical Program Manager,United States,$109K - $150K (Employer est.),3d,Mid-level,129500.0,0,United States,Unknown,129.5
214,IT project manager,ICF,Deputy Program Manager (Technical),"Austin, TX",$144K - $244K (Employer est.),7d,Mid-level,194000.0,0,Austin,TX,194.0
215,IT project manager,GBMC Healthcare,Senior IT Program Manager,"Towson, MD",$97K - $175K (Employer est.),28d,Mid-level,136000.0,0,Towson,MD,136.0
216,IT project manager,Abbott Laboratories,Sr. IT Program Manager,"Abbott Park, IL",$127K - $255K (Employer est.),9d,Mid-level,191000.0,0,Abbott Park,IL,191.0
217,IT project manager,Dutech Systems,Senior IT Project Manager,"Austin, TX",$130K - $140K (Employer est.),30d+,Mid-level,135000.0,0,Austin,TX,135.0
218,IT project manager,Sekon,Senior Information Technology (IT) Project Manager,"Reston, VA",$105K - $149K (Glassdoor est.),2d,Mid-level,127000.0,0,Reston,VA,127.0
219,IT project manager,Lowe's,Sr Business Project Manager,"Mooresville, NC",$98K - $164K (Employer est.),30d+,Mid-level,131000.0,0,Mooresville,NC,131.0
220,IT project manager,Cotiviti,Principal Project Manager PMO,Remote,$138K - $170K (Employer est.),13d,Mid-level,154000.0,1,Remote,Unknown,154.0
221,IT project manager,Liberty Mutual,Scrum Master II,"Boston, MA",$104K - $194K (Employer est.),24d,Mid-level,149000.0,0,Boston,MA,149.0
222,IT project manager,"Intercontinental Exchange Holdings, Inc.",Senior Project Manager Technology,"Atlanta, GA",$112K - $156K (Glassdoor est.),30d+,Mid-level,134000.0,0,Atlanta,GA,134.0
223,IT project manager,Microsoft,Technical Program Manager II,"Redmond, WA",$98K - $209K (Employer est.),6d,Mid-level,153500.0,0,Redmond,WA,153.5
225,IT project manager,Electronic Merchant Systems Llc,Project Manager/Scrum Master,"Cleveland, OH",$70K - $100K (Glassdoor est.),22d,Mid-level,85000.0,0,Cleveland,OH,85.0
227,IT project manager,Consumer Cellular,IT Sr. Project Manager,"Scottsdale, AZ",$111K - $162K (Employer est.),15d,Mid-level,136500.0,0,Scottsdale,AZ,136.5
228,IT project manager,"Red Hat, Inc.",Senior Program Manager - Technical,North Carolina,$116K - $192K (Employer est.),24h,Mid-level,154000.0,0,North Carolina,Unknown,154.0
230,IT project manager,Roswell Park Cancer Institute,Senior IT Project Manager,"Buffalo, NY",$124K - $156K (Employer est.),30d+,Mid-level,140000.0,0,Buffalo,NY,140.0
232,IT project manager,"Douglas County, CO",Senior IT Project Manager,"Castle Rock, CO",$109K - $163K (Employer est.),7d,Mid-level,136000.0,0,Castle Rock,CO,136.0
233,IT project manager,CDK Global,Lead Technology Program Manager,Remote,$115K - $150K (Employer est.),15d,Mid-level,132500.0,1,Remote,Unknown,132.5
236,IT project manager,Cox Communications,Principal Project / Program Manager,"Atlanta, GA",$132K - $219K (Employer est.),6d,Mid-level,175500.0,0,Atlanta,GA,175.5
237,IT project manager,GEICO,Senior Technical Program Manager - Legal Technology (REMOTE),"Chevy Chase, MD",$130K - $260K (Employer est.),14d,Mid-level,195000.0,0,Chevy Chase,MD,195.0
238,IT project manager,PG&E Corporation,Principal Program Manager,"Oakland, CA",$140K - $238K (Employer est.),9d,Mid-level,189000.0,0,Oakland,CA,189.0
239,IT project manager,Citizens,Digital Banking Sr Project Manager,"Westwood, MA",$76K - $117K (Glassdoor est.),2d,Mid-level,96500.0,0,Westwood,MA,96.5
241,IT project manager,Analog Devices,Technical Program Manager (AI/ML),"Boston, MA",$154K - $212K (Employer est.),30d+,Mid-level,183000.0,0,Boston,MA,183.0
242,IT project manager,Coinbase,Senior Program Manager,Remote,$166K - $196K (Employer est.),30d+,Mid-level,181000.0,1,Remote,Unknown,181.0
243,IT project manager,Caterpillar,Project Management Lead,"Tucson, AZ",$126K - $189K (Employer est.),3d,Mid-level,157500.0,0,Tucson,AZ,157.5
244,IT project manager,PayPal,Senior Technical Program Manager,"San Jose, CA",$97K - $234K (Employer est.),23d,Mid-level,165500.0,0,San Jose,CA,165.5
245,IT project manager,Harris Health System,Sr Project Mgr (IT),"Houston, TX",$90K - $129K (Glassdoor est.),24h,Mid-level,109500.0,0,Houston,TX,109.5
246,IT project manager,Providence,Principal IS Project Manager,Idaho,$49.05 - $100.26 Per Hour (Employer est.),2d,Mid-level,,0,Idaho,Unknown,
247,IT project manager,Thomson Reuters,Senior Program Manager,"Eagan, MN",$99K - $185K (Employer est.),30d,Mid-level,142000.0,0,Eagan,MN,142.0
248,IT project manager,Microsoft,Security Research Technical Program Manager II,United States,$98K - $209K (Employer est.),24h,Mid-level,153500.0,0,United States,Unknown,153.5
249,IT project manager,Arbella Insurance Group,Senior IT Project Manager,"Quincy, MA",$109K - $148K (Glassdoor est.),30d+,Mid-level,128500.0,0,Quincy,MA,128.5
250,IT project manager,"Conduent State & Local Solutions, Inc",Remote Deputy Project Manager,"Milwaukee, WI",$90K - $120K (Employer est.),6d,Mid-level,105000.0,0,Milwaukee,WI,105.0
252,IT project manager,Solano County,Information Technology Analyst (Principal) - Project Manager,"Fairfield, CA",$61.80 - $75.11 Per Hour (Employer est.),2d,Mid-level,,0,Fairfield,CA,
253,IT project manager,"MUFG Bank, Ltd.",Sr. Technology Implementation Project Manager – AVP,"Jersey City, NJ",$84K - $127K (Employer est.),24h,Mid-level,105500.0,0,Jersey City,NJ,105.5
255,IT project manager,Microsoft,Principal Technical Program Manager,"Redmond, WA",$138K - $294K (Employer est.),3d,Mid-level,216000.0,0,Redmond,WA,216.0
256,IT project manager,JPMorganChase,Technical Project Manager III - Survey Platforms,"Wilmington, DE",$83K - $119K (Glassdoor est.),24h,Mid-level,101000.0,0,Wilmington,DE,101.0
259,IT project manager,AT&T,PMO Project Manager (IT-IA-IM PM II) (Government),"Chantilly, VA",$98K - $160K (Employer est.),15d,Mid-level,129000.0,0,Chantilly,VA,129.0
260,IT project manager,SellersCommerce,Senior Project Manager – SC2025 - SPM,"Rosemont, IL",$87K - $127K (Glassdoor est.),30d+,Mid-level,107000.0,0,Rosemont,IL,107.0
261,IT project manager,Bayview Asset Management,"Sr. Associate, Security Project Manager","Coral Gables, FL",$120K - $140K (Employer est.),8d,Mid-level,130000.0,0,Coral Gables,FL,130.0
262,IT project manager,United Airlines,Senior Program Manager – IT,"Chicago, IL",$137K - $187K (Employer est.),10d,Mid-level,162000.0,0,Chicago,IL,162.0
264,IT project manager,PG&E Corporation,"Program Manager, Principal","Oakland, CA",$140K - $238K (Employer est.),30d+,Mid-level,189000.0,0,Oakland,CA,189.0
265,IT project manager,"Center for Internet Security, Inc.",Senior Program Manager - Remote,United States,$127K - $222K (Employer est.),10d,Mid-level,174500.0,0,United States,Unknown,174.5
266,IT project manager,Freedom Mortgage,"Project Mgr Sr, DDO","Trenton, NJ",$74K - $111K (Glassdoor est.),3d,Mid-level,92500.0,0,Trenton,NJ,92.5
267,IT project manager,US National Defense University,SUPV IT PROJECT MANAGER (APPSW/INFOSEC),"Washington, DC",$142K - $185K (Employer est.),7d,Mid-level,163500.0,0,Washington,DC,163.5
268,IT project manager,Reliance Matrix,Project Manager Lead IS,United States,$114K - $164K (Employer est.),18d,Mid-level,139000.0,0,United States,Unknown,139.0
269,IT project manager,SAIC,Senior IT PMO Analyst,"Bethesda, MD",$160K - $200K (Employer est.),30d+,Mid-level,180000.0,0,Bethesda,MD,180.0
271,IT project manager,Infinite Campus,IT PROJECT MANAGER II (317A12325v2),"Blaine, MN",$76K - $142K (Employer est.),24h,Mid-level,109000.0,0,Blaine,MN,109.0
272,IT project manager,Evoort Solutions,Project Manager/Scrum Master,"Boston, MA",$100K - $157K (Glassdoor est.),14d,Mid-level,128500.0,0,Boston,MA,128.5
273,IT project manager,Applied Materials,Technical Project/Program Manager III Senior - (E3S),"Austin, TX",$104K - $143K (Employer est.),24h,Mid-level,123500.0,0,Austin,TX,123.5
274,IT project manager,JPMorganChase,"Strategic Execution Project Manager II, Senior Associate","Newark, DE",$63K - $95K (Glassdoor est.),14d,Mid-level,79000.0,0,Newark,DE,79.0
275,IT project manager,HelloGov,Senior Project Manager,"Fairfax, VA",$121K - $274K (Employer est.),24h,Mid-level,197500.0,0,Fairfax,VA,197.5
276,IT project manager,Palo Alto Networks,Senior Inclusive Program Manager,"Santa Clara, CA",$153K - $249K (Employer est.),30d+,Mid-level,201000.0,0,Santa Clara,CA,201.0
277,IT project manager,Amazon.com Services LLC,"Senior Technical Program Manager, AI Security","Austin, TX",$131K - $184K (Glassdoor est.),24h,Mid-level,157500.0,0,Austin,TX,157.5
280,IT project manager,"8x8, Inc.","Senior Program Manager - Legal, Security & Fraud",North Carolina,$123K - $204K (Employer est.),24h,Mid-level,163500.0,0,North Carolina,Unknown,163.5
281,IT project manager,County of Solano,Information Technology Analyst (Principal) - Project Manager,"Fairfield, CA",$129K - $156K (Employer est.),2d,Mid-level,142500.0,0,Fairfield,CA,142.5
283,IT project manager,GCS Technologies,Senior IT Project Analyst,"Austin, TX",$75K - $110K (Employer est.),30d+,Mid-level,92500.0,0,Austin,TX,92.5
284,IT project manager,MFS Investment Management,"Sr. Manager, Agile Coach - Chief Scrum Master","Boston, MA",$116K - $150K (Glassdoor est.),30d+,Mid-level,133000.0,0,Boston,MA,133.0
285,IT project manager,SailPoint,Senior Web Program Manager,United States,$77K - $142K (Employer est.),24h,Mid-level,109500.0,0,United States,Unknown,109.5
286,IT project manager,Wayfair,"Senior Technical Program Manager, Global Supplier Technology","Boston, MA",$176K - $188K (Employer est.),16d,Mid-level,182000.0,0,Boston,MA,182.0
287,IT project manager,Citizens,TBM Program Manager II,"Westwood, MA",$160K - $190K (Employer est.),7d,Mid-level,175000.0,0,Westwood,MA,175.0
288,IT project manager,Tellus Solutions,M&A Technical Project Manager (Quote to Cash) (3 to 4 Months Project) Remote,Remote,$80.00 Per Hour (Employer est.),9d,Mid-level,40000.0,1,Remote,Unknown,40.0
289,IT project manager,Autodesk,"Senior Manager, Technical Program Management, Enterprise Cloud and Infrastructure Engineering","Novi, MI",$143K - $231K (Employer est.),24h,Mid-level,187000.0,0,Novi,MI,187.0
293,IT project manager,Syneos - Clinical and Corporate - Prod,Project Manager II (Global experience) - Argentina Home Based,Remote,$278K - $327K (Employer est.),30d+,Mid-level,302500.0,1,Remote,Unknown,302.5
295,IT project manager,KinderCare Education,Principal Project Manager - Remote Opportunity,"Beaverton, OR",$92K - $149K (Glassdoor est.),30d+,Mid-level,120500.0,0,Beaverton,OR,120.5
296,IT project manager,Hyundai Capital America,Sr. IT Infrastructure Technical Delivery Manager,"Newport Beach, CA",$121K - $187K (Employer est.),10d,Mid-level,154000.0,0,Newport Beach,CA,154.0
299,IT project manager,Whole Foods Market,"Senior Program Manager, E-Commerce","Austin, TX",$86K - $126K (Glassdoor est.),30d+,Mid-level,106000.0,0,Austin,TX,106.0
300,IT project manager,Dartmouth Hitchcock Medical Center,"Senior Project Manager - IS Program Management Office, Hybrid","Lebanon, NH",$76K - $110K (Glassdoor est.),6d,Mid-level,93000.0,0,Lebanon,NH,93.0
301,IT project manager,"Sensata Technologies, Inc.",Sr. IT Project Manager - Commercial and Engineering,"Attleboro, MA",$104K - $150K (Glassdoor est.),25d,Mid-level,127000.0,0,Attleboro,MA,127.0
302,IT project manager,JPMorganChase,Lead Technical Program Manager - Cloud and Identity Access Management,"Plano, TX",$103K - $151K (Glassdoor est.),16d,Mid-level,127000.0,0,Plano,TX,127.0
303,IT project manager,YouTube,"Technical Program Manager III, Video Infrastructure, YouTube","Cambridge, MA",$142K - $211K (Employer est.),27d,Mid-level,176500.0,0,Cambridge,MA,176.5
304,IT project manager,Lowe's,Lead Technology Coach - Agile,"Charlotte, NC",$112K - $212K (Employer est.),6d,Mid-level,162000.0,0,Charlotte,NC,162.0
306,IT project manager,Applied Materials,2025 University Graduate - Technical Program Mgr (TPM),"Santa Clara, CA",$80K - $110K (Employer est.),20d,Mid-level,95000.0,0,Santa Clara,CA,95.0
307,IT project manager,Citi,IT Project Tech Lead - C13 - CHARLOTTE - Hybrid,"Charlotte, NC",$117K - $176K (Employer est.),30d+,Mid-level,146500.0,0,Charlotte,NC,146.5
308,IT project manager,Just Global,Senior Project Manager,Remote,$71K - $107K (Employer est.),14d,Mid-level,89000.0,1,Remote,Unknown,89.0
309,IT project manager,Airgas,Senior IT Project Manager and Agile Coach,"Radnor, PA",$112K - $160K (Glassdoor est.),15d,Mid-level,136000.0,0,Radnor,PA,136.0
310,IT project manager,Visa,Lead Technical Program Manager - Payment Platform Technology (Hybrid/Onsite),"Austin, TX",$161K - $233K (Employer est.),10d,Mid-level,197000.0,0,Austin,TX,197.0
311,IT project manager,Stryker,"Associate Project Manager - Washington, D.C","Washington, DC",$64K - $99K (Glassdoor est.),6d,Mid-level,81500.0,0,Washington,DC,81.5
312,IT project manager,Northrop Grumman,Sr Principal Enterprise Services IT Program Manager-Active Secret Clearance Required,"Baltimore, MD",$131K - $197K (Employer est.),24h,Mid-level,164000.0,0,Baltimore,MD,164.0
313,IT project manager,"VENESCO, LLC",Senior Information Technology Project Manager,"Washington, DC",$110K - $165K (Employer est.),23d,Mid-level,137500.0,0,Washington,DC,137.5
314,IT project manager,Abbott Laboratories,Senior Project Manager,"Alameda, CA",$128K - $256K (Employer est.),14d,Mid-level,192000.0,0,Alameda,CA,192.0
315,IT project manager,Fortune Brands,"Senior Program Manager, Hardware","Deerfield, IL",$125K - $155K (Employer est.),30d,Mid-level,140000.0,0,Deerfield,IL,140.0
316,IT project manager,"Sensata Technologies, Inc.",Senior IT Project Manager- Global Support Organization (GSO),"Attleboro, MA",$100K - $144K (Glassdoor est.),30d+,Mid-level,122000.0,0,Attleboro,MA,122.0
318,IT project manager,Netflix,Staff Design Program Manager - Platform,Remote,$120K - $515K (Employer est.),24d,Mid-level,317500.0,1,Remote,Unknown,317.5
320,IT project manager,Erie Insurance,Master Project Manager / Scrum Master (Enterprise Data),"Erie, PA",$97K - $156K (Employer est.),17d,Mid-level,126500.0,0,Erie,PA,126.5
321,IT project manager,Jack Henry & Associates,Strategic Project Manager III,United States,$90K - $120K (Employer est.),17d,Mid-level,105000.0,0,United States,Unknown,105.0
322,IT project manager,"Revolution Technologies, LLC",ServiceNow Project Manager/Release Manager,"Cary, NC",$45.00 - $55.00 Per Hour (Employer est.),17d,Mid-level,,0,Cary,NC,
323,IT project manager,Yale University,"IT, Project Manager 3","New Haven, CT",$90K - $124K (Glassdoor est.),22d,Mid-level,107000.0,0,New Haven,CT,107.0
324,IT project manager,"General Dynamics Mission Systems, Inc",Technical Project Leader - Tactical RF/GPS Solutions,"Fort Wayne, IN",$152K - $162K (Employer est.),30d+,Mid-level,157000.0,0,Fort Wayne,IN,157.0
325,IT project manager,ManTech,Senior IT Project Manager,"Herndon, VA",$131K - $167K (Glassdoor est.),18d,Mid-level,149000.0,0,Herndon,VA,149.0
326,IT project manager,Mayo Clinic,Senior Project Manager - Research,"Rochester, MN",$107K - $160K (Employer est.),30d+,Mid-level,133500.0,0,Rochester,MN,133.5
327,IT project manager,Astreya Partners,Senior IT Project Manager,"San Ramon, CA",$112K - $186K (Employer est.),17d,Mid-level,149000.0,0,San Ramon,CA,149.0
328,IT project manager,Client,Senior IT Project Manager,"Omaha, NE",$60.00 Per Hour (Employer est.),7d,Mid-level,30000.0,0,Omaha,NE,30.0
332,IT project manager,Rapid7,"Senior Program Manager, Managed Services","Austin, TX",$119K - $167K (Glassdoor est.),23d,Mid-level,143000.0,0,Austin,TX,143.0
334,IT project manager,Bounteous,Senior Project Manager,"Ann Arbor, MI",$85K - $110K (Employer est.),9d,Mid-level,97500.0,0,Ann Arbor,MI,97.5
335,IT project manager,CoreSite,Project Manager Scrum Master,"Denver, CO",$90K - $115K (Employer est.),3d,Mid-level,102500.0,0,Denver,CO,102.5
336,IT project manager,Eclerx,Senior IT Project Manager,"Miami, FL",$120K - $175K (Employer est.),30d,Mid-level,147500.0,0,Miami,FL,147.5
337,IT project manager,University of Colorado Boulder,Senior Agile Project Manager,"Boulder, CO",$89K - $100K (Employer est.),10d,Mid-level,94500.0,0,Boulder,CO,94.5
338,IT project manager,Florida Peninsula Insurance Company,Project Manager/Scrum Master (Onsite/Hybrid),"Boca Raton, FL",$79K - $127K (Glassdoor est.),30d+,Mid-level,103000.0,0,Boca Raton,FL,103.0
340,IT project manager,Nordstrom Inc,Program Manager Tech 2 - Support Services (Hybrid - Seattle),"Seattle, WA",$103K - $189K (Employer est.),7d,Mid-level,146000.0,0,Seattle,WA,146.0
341,IT project manager,Houston Methodist,IT Project Manager II - (Center of Innovation),"Houston, TX",$84K - $119K (Glassdoor est.),30d+,Mid-level,101500.0,0,Houston,TX,101.5
342,IT project manager,Brinks Home,Senior IT Project Manager,"Farmers Branch, TX",$97K - $131K (Glassdoor est.),13d,Mid-level,114000.0,0,Farmers Branch,TX,114.0
345,IT project manager,ManTech,Staff IT Project Manager,"Herndon, VA",$109K - $140K (Glassdoor est.),18d,Mid-level,124500.0,0,Herndon,VA,124.5
346,IT project manager,General Dynamics Information Technology,Service Desk Deputy Program Manager - Active Top Secret required,"Washington, DC",$111K - $150K (Employer est.),30d+,Mid-level,130500.0,0,Washington,DC,130.5
347,IT project manager,Wolters Kluwer,Senior Scrum Master | Hybrid Onsite,"Coppell, TX",$98K - $134K (Glassdoor est.),10d,Mid-level,116000.0,0,Coppell,TX,116.0
348,IT project manager,hims & hers,"Sr. Technical Program Manager, Data Platform","San Francisco, CA",$170K - $185K (Employer est.),9d,Mid-level,177500.0,0,San Francisco,CA,177.5
350,IT project manager,University of Rhode Island,Senior Information Technology (IT) Project Manager,"Kingston, RI",$90K - $125K (Employer est.),30d+,Mid-level,107500.0,0,Kingston,RI,107.5
351,IT project manager,GE Vernova,Senior Services Manager - Digital Project Management,"Melbourne, FL",$122K - $153K (Employer est.),7d,Mid-level,137500.0,0,Melbourne,FL,137.5
352,IT project manager,FIS Global,Sr. Strategic Project Manager,"Brown Deer, WI",$105K - $177K (Employer est.),13d,Mid-level,141000.0,0,Brown Deer,WI,141.0
354,IT project manager,Rapid7,"Lead Program Manager, Managed Services","Austin, TX",$128K - $179K (Glassdoor est.),30d+,Mid-level,153500.0,0,Austin,TX,153.5
355,IT project manager,Apple,Sr. Engineering Program Manager - Apple Services Engineering,"Cupertino, CA",$166K - $294K (Employer est.),14d,Mid-level,230000.0,0,Cupertino,CA,230.0
356,IT project manager,Solvus Global,Principal Technical Program Manager,"Worcester, MA",$150K - $190K (Employer est.),9d,Mid-level,170000.0,0,Worcester,MA,170.0
358,IT project manager,Public Consulting Group,Technical Project Manager 2,United States,$135K - $175K (Employer est.),23d,Mid-level,155000.0,0,United States,Unknown,155.0
359,IT project manager,Owens & Minor Medical Inc.,Sr. Project/Program Manager – IT Infrastructure,"Denver, CO",$108K - $151K (Glassdoor est.),18d,Mid-level,129500.0,0,Denver,CO,129.5
360,IT project manager,Citi,IT Business Lead Analyst/Project Manager - C13 - JERSEY CITY/NEW YORK,"Jersey City, NJ",$130K - $195K (Employer est.),16d,Mid-level,162500.0,0,Jersey City,NJ,162.5
361,IT project manager,Solvus Global,Senior Technical Program Manager,"Worcester, MA",$110K - $150K (Employer est.),9d,Mid-level,130000.0,0,Worcester,MA,130.0
362,IT project manager,Solar Turbines,Sr Scrum Master,"San Diego, CA",$120K - $180K (Employer est.),2d,Mid-level,150000.0,0,San Diego,CA,150.0
363,IT project manager,Paypal,Sr Program Manager - Sales Technology,"Austin, TX",$97K - $234K (Employer est.),24d,Mid-level,165500.0,0,Austin,TX,165.5
364,IT project manager,University of Maryland Medical System,IT Project Manager II,"Columbia, MD",$46.01 - $65.04 Per Hour (Employer est.),23d,Mid-level,,0,Columbia,MD,
365,IT project manager,Clayton Careers,"Senior Manager, Technology Project/Program Management","Maryville, TN",$84K - $122K (Glassdoor est.),8d,Mid-level,103000.0,0,Maryville,TN,103.0
366,IT project manager,"iRadio, University of Houston-Downtown",IT Project Manager and Business Analyst I,"Houston, TX",$72K - $74K (Employer est.),9d,Mid-level,73000.0,0,Houston,TX,73.0
367,IT project manager,Apple,"Engineering Program Manager, Data Engineering, Apple Services Engineering","Seattle, WA",$157K - $279K (Employer est.),14d,Mid-level,218000.0,0,Seattle,WA,218.0
368,IT project manager,Lenovo,Sr. Project Manager - Strategic Operations,"Morrisville, NC",$95K - $136K (Glassdoor est.),30d+,Mid-level,115500.0,0,Morrisville,NC,115.5
369,IT project manager,Chetu Inc.,Senior Technical Project Manager,"Sunrise, FL",$90K - $110K (Employer est.),8d,Mid-level,100000.0,0,Sunrise,FL,100.0
370,IT project manager,Lowe's,"Sr Manager, Agile Operations","Charlotte, NC",$104K - $150K (Glassdoor est.),15d,Mid-level,127000.0,0,Charlotte,NC,127.0
372,IT project manager,Brinks Home,Associate IT Project Manager,"Farmers Branch, TX",$73K - $100K (Glassdoor est.),13d,Mid-level,86500.0,0,Farmers Branch,TX,86.5
373,IT project manager,City of Sunnyvale,Senior Project Manager - PMO,"Sunnyvale, CA",$132K - $168K (Employer est.),9d,Mid-level,150000.0,0,Sunnyvale,CA,150.0
374,IT project manager,Uplight,Lead Technical Project Manager,United States,$130K - $150K (Employer est.),10d,Mid-level,140000.0,0,United States,Unknown,140.0
375,IT project manager,Chicago Transit Authority,"Senior Project Manager, IT","Chicago, IL",$125K - $135K (Employer est.),13d,Mid-level,130000.0,0,Chicago,IL,130.0
376,IT project manager,BlueCross BlueShield of South Carolina,"IT Senior Project Manager-CGS Administrators, LLC (Nashville, TN)","Nashville, TN",$72K - $111K (Glassdoor est.),24h,Mid-level,91500.0,0,Nashville,TN,91.5
377,IT project manager,PLEXSYS,Capabilities Requirements Manager,"Camas, WA",$136K - $188K (Employer est.),8d,Mid-level,162000.0,0,Camas,WA,162.0
378,IT project manager,Capital Metro,Technology Project Manager II,"Austin, TX",$72K - $105K (Glassdoor est.),24d,Mid-level,88500.0,0,Austin,TX,88.5
379,IT project manager,Thomson Reuters,"Senior Client Project Manager, Government","Ann Arbor, MI",$99K - $185K (Employer est.),28d,Mid-level,142000.0,0,Ann Arbor,MI,142.0
380,IT project manager,COUNTRY Financial,Technology Project Manager Sr,"Bloomington, IL",$94K - $129K (Employer est.),30d+,Mid-level,111500.0,0,Bloomington,IL,111.5
382,IT project manager,Palo Alto Networks,"Sr Program Manager, Worldwide Operations","Santa Clara, CA",$106K - $173K (Employer est.),30d+,Mid-level,139500.0,0,Santa Clara,CA,139.5
383,IT project manager,BAXTER,Sr Project Manager,"Deerfield, IL",$128K - $176K (Employer est.),22d,Mid-level,152000.0,0,Deerfield,IL,152.0
384,IT project manager,Rapid7,"Lead Program Manager, Managed Services","Boston, MA",$139K - $192K (Glassdoor est.),30d+,Mid-level,165500.0,0,Boston,MA,165.5
385,IT project manager,Enterra Solutions,Senior Project Manager,"Princeton, NJ",$99K - $141K (Glassdoor est.),30d+,Mid-level,120000.0,0,Princeton,NJ,120.0
386,IT project manager,CACI,Engineering Project Lead,"McLean, VA",$103K - $216K (Employer est.),30d+,Mid-level,159500.0,0,McLean,VA,159.5
387,IT project manager,Comcast Corporation,Technical Project Manager 3,"Philadelphia, PA",$91K - $126K (Glassdoor est.),3d,Mid-level,108500.0,0,Philadelphia,PA,108.5
388,IT project manager,Choice Hotels,Technical Project Manager 3,"Scottsdale, AZ",$89K - $126K (Glassdoor est.),24h,Mid-level,107500.0,0,Scottsdale,AZ,107.5
389,IT project manager,Barnard College,Senior IT Project Manager,United States,$110K - $115K (Employer est.),30d+,Mid-level,112500.0,0,United States,Unknown,112.5
390,IT project manager,Integra LifeSciences,Sr Project Manager,"Plainsboro, NJ",$101K - $137K (Glassdoor est.),21d,Mid-level,119000.0,0,Plainsboro,NJ,119.0
391,IT project manager,Adobe,"Senior Mgr, ACS Program Management (NonTech)","Lehi, UT",$131K - $251K (Employer est.),27d,Mid-level,191000.0,0,Lehi,UT,191.0
392,IT project manager,Hyundai Capital America,IT Project Portfolio Management Associate,"Newport Beach, CA",$64K - $96K (Employer est.),30d+,Mid-level,80000.0,0,Newport Beach,CA,80.0
394,IT project manager,"Draeger Medical Systems, Inc.",Senior Medical Device Software Project Manager,"Andover, MA",$76K - $116K (Glassdoor est.),27d,Mid-level,96000.0,0,Andover,MA,96.0
396,IT project manager,YouTube,"Technical Program Manager III, Video Infrastructure, YouTube","Mountain View, CA",$142K - $211K (Employer est.),9d,Mid-level,176500.0,0,Mountain View,CA,176.5
397,IT project manager,Huntington Bank,Senior Project Manager,"Columbus, OH",$87K - $126K (Glassdoor est.),24h,Mid-level,106500.0,0,Columbus,OH,106.5
398,IT project manager,Regeneron,Senior GMP IT Project Manager,"Troy, NY",$104K - $199K (Employer est.),30d+,Mid-level,151500.0,0,Troy,NY,151.5
399,IT project manager,Upskilled Evolution,IT Program Manager/Business Development Manager,"Anchorage, AK",$120K - $150K (Employer est.),30d+,Mid-level,135000.0,0,Anchorage,AK,135.0
400,IT project manager,Clayton Careers,IT Project Manager II,"Maryville, TN",$74K - $99K (Glassdoor est.),22d,Mid-level,86500.0,0,Maryville,TN,86.5
401,IT project manager,Etna Interactive,Associate Project Manager (Remote),Arizona,$60K - $69K (Employer est.),24d,Mid-level,64500.0,0,Arizona,Unknown,64.5
402,IT project manager,Hewlett Packard Enterprise,Senior Technical Program Manager,"San Jose, CA",$102K - $235K (Employer est.),24h,Mid-level,168500.0,0,San Jose,CA,168.5
