,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
46,IT project manager,County of Los Angeles,INFORMATION TECHNOLOGY SPECIALIST I,"Los Angeles, CA",$12K - $16K (Employer est.),14d,Entry-level,14000.0,0,Los Angeles,CA,14.0
47,IT project manager,Gesa Credit Union,Project Manager I,"Richland, WA",$78K - $112K (Employer est.),14d,Entry-level,95000.0,0,Richland,WA,95.0
48,IT project manager,Georgia Bureau of Investigation,IT Program Manager 1 or 2,"Decatur, GA",$78K - $95K (Employer est.),30d+,Entry-level,86500.0,0,Decatur,GA,86.5
49,IT project manager,DEPT OF DESIGN & CONSTRUCTION,Junior IT Project Manager,Westcliffe,$75K - $93K (Employer est.),30d+,Entry-level,84000.0,0,Westcliffe,Unknown,84.0
51,IT project manager,Institute for Building Technology and Safety,Assistant Project Manager- Non-IT,"Ashburn, VA",$60K - $90K (Glassdoor est.),10d,Entry-level,75000.0,0,Ashburn,VA,75.0
53,IT project manager,Recess Creative,Junior Project Manager,"Cleveland, OH",$49K - $70K (Glassdoor est.),30d+,Entry-level,59500.0,0,Cleveland,OH,59.5
54,IT project manager,Astound Broadband,Implementation Project Manager I or II,"San Antonio, TX",$57K - $96K (Employer est.),3d,Entry-level,76500.0,0,San Antonio,TX,76.5
55,IT project manager,Aon Corporation,Program Manager I,"Chicago, IL",$110K - $135K (Employer est.),30d+,Entry-level,122500.0,0,Chicago,IL,122.5
56,IT project manager,HIMA,Assistant IT and Project Management (PMO) (m/f/d),"Mobile, AL",$59K - $98K (Glassdoor est.),30d+,Entry-level,78500.0,0,Mobile,AL,78.5
57,IT project manager,Adams 12 Five Star Schools,BOND IT Project Manager (Level I - III),United States,$47K - $142K (Employer est.),30d+,Entry-level,94500.0,0,United States,Unknown,94.5
58,IT project manager,Wells Enterprises,Commercialization Project Manager I,"Le Mars, IA",$55K - $85K (Glassdoor est.),2d,Entry-level,70000.0,0,Le Mars,IA,70.0
59,IT project manager,"TRC Companies, Inc.",Project Manager I,"Albany, NY",$74K - $91K (Employer est.),29d,Entry-level,82500.0,0,Albany,NY,82.5
60,IT project manager,Empire State,"IT Project Manager, Tier 1","New York, NY",$80K - $90K (Employer est.),7d,Entry-level,85000.0,0,New York,NY,85.0
61,IT project manager,Department of Corrections & Rehabilitation,INFORMATION TECHNOLOGY SPECIALIST I,United States,$6K - $10K (Employer est.),9d,Entry-level,8000.0,0,United States,Unknown,8.0
62,IT project manager,ADP,Implementation Project Manager I,"Louisville, KY",$65K - $87K (Glassdoor est.),30d+,Entry-level,76000.0,0,Louisville,KY,76.0
63,IT project manager,Booz Allen,"Scrum Master, Junior","Arlington, VA",$47K - $96K (Employer est.),15d,Entry-level,71500.0,0,Arlington,VA,71.5
64,IT project manager,Autonomous Solutions,Project Manager (I-III),"Fort Worth, TX",$83K - $124K (Glassdoor est.),21d,Entry-level,103500.0,0,Fort Worth,TX,103.5
65,IT project manager,University of Kentucky,Technical Project Specialist I,"Frankfort, KY",$47K - $78K (Employer est.),7d,Entry-level,62500.0,0,Frankfort,KY,62.5
66,IT project manager,AlignOps,Integration Coordinator - Level I,"Indianapolis, IN",$45K - $67K (Glassdoor est.),11d,Entry-level,56000.0,0,Indianapolis,IN,56.0
